name,year,month,day,hour,lat,long,status,category,wind,pressure,status_next_24h
Amy,1975,6,27,0,27.5,-79.0,tropical depression,1.0,-0.9810869807786248,1.0378964480304964,0
Amy,1975,6,27,6,28.5,-79.0,tropical depression,1.0,-0.9810869807786248,1.0378964480304964,0
Amy,1975,6,27,12,29.5,-79.0,tropical depression,1.0,-0.9810869807786248,1.0378964480304964,0
Amy,1975,6,27,18,30.5,-79.0,tropical depression,1.0,-0.9810869807786248,1.0378964480304964,0
Amy,1975,6,28,0,31.5,-78.8,tropical depression,1.0,-0.9810869807786248,0.98452899525655,0
Amy,1975,6,28,6,32.4,-78.7,tropical depression,1.0,-0.9810869807786248,0.98452899525655,0
Amy,1975,6,28,12,33.3,-78.0,tropical depression,1.0,-0.9810869807786248,0.9311615424826037,0
Amy,1975,6,28,18,34.0,-77.0,tropical depression,1.0,-0.7850267454871981,0.6643242786128722,0
Amy,1975,6,29,0,34.4,-75.8,tropical storm,1.0,-0.5889665101957714,0.5575893730649797,0
Amy,1975,6,29,6,34.0,-74.8,tropical storm,1.0,-0.39290627490434465,0.4508544675170871,0
Amy,1975,6,29,12,33.8,-73.8,tropical storm,1.0,-0.1968460396129179,0.3441195619691945,0
Amy,1975,6,29,18,33.8,-72.8,tropical storm,1.0,-0.0007858043214911901,0.2373846564213019,0
Amy,1975,6,30,0,34.3,-71.6,tropical storm,1.0,-0.0007858043214911901,0.2373846564213019,0
Amy,1975,6,30,6,35.6,-70.8,tropical storm,1.0,0.19527443096993552,0.2373846564213019,0
Amy,1975,6,30,12,35.9,-70.5,tropical storm,1.0,0.39133466626136226,-0.3496573240921073,0
Amy,1975,6,30,18,36.2,-70.2,tropical storm,1.0,0.39133466626136226,-0.3496573240921073,0
Amy,1975,7,1,0,36.2,-69.8,tropical storm,1.0,0.39133466626136226,-0.5097596824139462,0
Amy,1975,7,1,6,36.2,-69.4,tropical storm,1.0,0.39133466626136226,-0.5097596824139462,0
Amy,1975,7,1,12,36.2,-68.3,tropical storm,1.0,0.39133466626136226,-0.5097596824139462,0
Amy,1975,7,1,18,36.7,-67.2,tropical storm,1.0,0.39133466626136226,-0.5097596824139462,0
Amy,1975,7,2,0,37.4,-66.7,tropical storm,1.0,0.39133466626136226,-0.5097596824139462,0
Amy,1975,7,2,6,37.3,-65.9,tropical storm,1.0,0.39133466626136226,-0.5097596824139462,0
Amy,1975,7,2,12,37.3,-65.1,tropical storm,1.0,0.39133466626136226,-0.669862040735785,0
Amy,1975,7,2,18,37.3,-64.1,tropical storm,1.0,0.39133466626136226,-0.4030247768660536,0
Amy,1975,7,3,0,37.7,-62.8,tropical storm,1.0,0.19527443096993552,-0.4030247768660536,0
Amy,1975,7,3,6,38.2,-61.2,tropical storm,1.0,0.19527443096993552,-0.4030247768660536,0
Amy,1975,7,3,12,39.3,-59.6,tropical storm,1.0,0.19527443096993552,-0.4030247768660536,0
Amy,1975,7,3,18,40.5,-58.0,tropical storm,1.0,-0.0007858043214911901,-0.4030247768660536,0
Amy,1975,7,4,0,42.5,-54.8,tropical storm,1.0,-0.0007858043214911901,-0.4030247768660536,0
Amy,1975,7,4,6,44.5,-51.6,tropical storm,1.0,-0.0007858043214911901,-0.4030247768660536,0
Amy,1975,7,4,12,47.0,-48.0,extratropical,1.0,-0.1968460396129179,0.07728229809946303,0
Blanche,1975,7,24,0,26.0,-68.4,tropical depression,1.0,-1.1771472160700516,1.0912639008044427,0
Blanche,1975,7,24,6,26.0,-69.5,tropical depression,1.0,-1.1771472160700516,1.0912639008044427,0
Blanche,1975,7,24,12,26.1,-70.5,tropical depression,1.0,-0.9810869807786248,1.0912639008044427,0
Blanche,1975,7,24,18,26.5,-71.5,tropical depression,1.0,-0.7850267454871981,1.0378964480304964,0
Blanche,1975,7,25,0,27.2,-72.5,tropical depression,1.0,-0.7850267454871981,0.98452899525655,0
Blanche,1975,7,25,6,28.0,-73.6,tropical depression,1.0,-0.7850267454871981,0.8777940897086575,0
Blanche,1975,7,25,12,28.9,-74.3,tropical depression,1.0,-0.7850267454871981,0.7176917313868185,0
Blanche,1975,7,25,18,29.9,-74.9,tropical depression,1.0,-0.7850267454871981,0.6643242786128722,0
Blanche,1975,7,26,0,31.0,-75.0,tropical depression,1.0,-0.7850267454871981,0.610956825838926,0
Blanche,1975,7,26,6,32.2,-74.6,tropical storm,1.0,-0.5889665101957714,0.5575893730649797,1
Blanche,1975,7,26,12,33.4,-73.5,tropical storm,1.0,-0.5889665101957714,0.5042219202910334,1
Blanche,1975,7,26,18,34.2,-72.2,tropical storm,1.0,-0.0007858043214911901,0.2373846564213019,1
Blanche,1975,7,27,0,35.0,-71.0,tropical storm,1.0,0.39133466626136226,-0.08282006022237584,1
Blanche,1975,7,27,6,35.9,-70.0,hurricane,1.0,0.587394901552789,-0.3496573240921073,1
Blanche,1975,7,27,12,36.9,-69.0,hurricane,1.0,0.7834551368442156,-0.5097596824139462,0
Blanche,1975,7,27,18,37.9,-68.0,hurricane,1.0,0.9795153721356424,-0.669862040735785,0
Blanche,1975,7,28,0,39.3,-67.2,hurricane,1.0,0.9795153721356424,-0.7232294935097313,0
Blanche,1975,7,28,6,41.2,-66.4,hurricane,1.0,0.7834551368442156,-0.7232294935097313,0
Blanche,1975,7,28,12,44.0,-65.2,extratropical,1.0,0.39133466626136226,-0.29628987131816104,0
Blanche,1975,7,28,18,47.2,-62.4,extratropical,1.0,0.39133466626136226,-0.08282006022237584,0
Caroline,1975,8,24,12,22.4,-69.8,tropical depression,1.0,-0.9810869807786248,0.9311615424826037,0
Caroline,1975,8,24,18,21.9,-71.1,tropical depression,1.0,-0.9810869807786248,0.9311615424826037,0
Caroline,1975,8,25,0,21.6,-72.5,tropical depression,1.0,-0.9810869807786248,0.8777940897086575,0
Caroline,1975,8,25,6,21.2,-73.8,tropical depression,1.0,-0.9810869807786248,0.8777940897086575,0
Caroline,1975,8,25,12,20.9,-75.1,tropical depression,1.0,-0.9810869807786248,0.9311615424826037,0
Caroline,1975,8,25,18,20.6,-76.4,tropical depression,1.0,-0.9810869807786248,0.9311615424826037,0
Caroline,1975,8,26,0,20.4,-77.7,tropical depression,1.0,-0.9810869807786248,0.9311615424826037,0
Caroline,1975,8,26,6,20.3,-79.0,tropical depression,1.0,-0.9810869807786248,0.9311615424826037,0
Caroline,1975,8,26,12,20.2,-80.3,tropical depression,1.0,-0.9810869807786248,0.98452899525655,0
Caroline,1975,8,26,18,20.2,-81.6,tropical depression,1.0,-0.9810869807786248,0.98452899525655,0
Caroline,1975,8,27,0,20.4,-82.8,tropical depression,1.0,-0.9810869807786248,1.0378964480304964,0
Caroline,1975,8,27,6,20.8,-84.0,tropical depression,1.0,-0.9810869807786248,1.0378964480304964,0
Caroline,1975,8,27,12,21.1,-85.1,tropical depression,1.0,-0.9810869807786248,1.0912639008044427,0
Caroline,1975,8,27,18,21.5,-86.3,tropical depression,1.0,-0.9810869807786248,1.0912639008044427,0
Caroline,1975,8,28,0,22.0,-87.5,tropical depression,1.0,-0.9810869807786248,1.0912639008044427,0
Caroline,1975,8,28,6,22.4,-88.8,tropical depression,1.0,-0.9810869807786248,1.0912639008044427,0
Caroline,1975,8,28,12,22.8,-90.1,tropical depression,1.0,-0.9810869807786248,1.0378964480304964,0
Caroline,1975,8,28,18,22.9,-91.0,tropical depression,1.0,-0.9810869807786248,0.8777940897086575,0
Caroline,1975,8,29,0,23.0,-91.9,tropical depression,1.0,-0.7850267454871981,0.7176917313868185,1
Caroline,1975,8,29,6,23.1,-92.6,tropical storm,1.0,-0.5889665101957714,0.5042219202910334,1
Caroline,1975,8,29,12,23.2,-93.2,tropical storm,1.0,-0.39290627490434465,0.2907521091952482,1
Caroline,1975,8,29,18,23.2,-93.6,tropical storm,1.0,-0.0007858043214911901,0.023914845325516746,1
Caroline,1975,8,30,0,23.3,-94.2,hurricane,1.0,0.587394901552789,-0.18955496577026842,1
Caroline,1975,8,30,6,23.5,-94.9,hurricane,1.0,0.587394901552789,-0.18955496577026842,1
Caroline,1975,8,30,12,23.7,-95.6,hurricane,1.0,0.587394901552789,-0.24292241854421473,1
Caroline,1975,8,30,18,23.8,-96.3,hurricane,1.0,0.7834551368442156,-0.3496573240921073,0
Caroline,1975,8,31,0,24.0,-97.0,hurricane,3.0,1.959816548592776,-1.0968016629273554,0
Caroline,1975,8,31,6,24.1,-97.5,hurricane,3.0,1.959816548592776,-1.6304761906668184,0
Caroline,1975,8,31,12,24.3,-97.8,hurricane,2.0,1.5676960780099225,-1.6304761906668184,0
